X,Y,OBJECTID,SEGMENT,POINT,LATDD,LONDD,SEGPTID
-13423085.2854,4600240.7538,74,36727,3,38.147192,-120.5816138,367273
-13422375.2563,4600280.2328,75,36727,4,38.1474709,-120.5752355,367274
-13421670.0025,4600060.7875,76,36727,5,38.1459206,-120.5689001,367275
-13421111.6571,4598317.5234,77,36728,1,38.1336039,-120.5638844,367281
-13419951.3629,4599147.3585,78,36728,2,38.1394672,-120.5534613,367282
-13418984.5642,4599358.4334,79,36728,3,38.1409585,-120.5447764,367283
-13418138.9698,4599444.9852,80,36728,4,38.14157,-120.5371803,367284
-13416325.987,4599834.5112,81,36728,5,38.144322,-120.520894,367285
-13423388.0529,4606755.6585,82,36740,1,38.1932026,-120.5843336,367401
-13422654.7357,4606923.5749,83,36740,2,38.1943881,-120.5777461,367402
-13421430.544,4607450.1454,84,36740,3,38.1981056,-120.566749,367403
-13420312.6511,4608430.4239,85,36740,4,38.2050257,-120.5567068,367404
-13442909.9577,4638735.1082,86,37153,1,38.4186315,-120.7597018,371531
-13442534.3325,4639334.9648,87,37153,2,38.4228533,-120.7563275,371532
-13442399.3798,4640292.3666,88,37153,3,38.429591,-120.7551152,371533
-13441503.0352,4641165.2425,89,37153,4,38.4357333,-120.7470632,371534
-13440921.9921,4641594.453,90,37153,5,38.4387534,-120.7418436,371535
-13449113.8944,4641929.1527,91,37165,1,38.4411084,-120.8154327,371651
-13448394.3139,4642395.7614,92,37165,2,38.4443914,-120.8089686,371652
-13448144.7023,4643230.6932,93,37165,3,38.4502655,-120.8067263,371653
-13447815.6642,4643829.2775,94,37165,4,38.4544765,-120.8037705,371654
-13446902.5992,4643870.4589,95,37165,5,38.4547662,-120.7955683,371655
-13441811.1663,4628873.376,96,37168,1,38.3491891,-120.7498312,371681
-13440079.9922,4629733.0877,97,37168,2,38.3552455,-120.7342798,371682
-13439226.0492,4629487.1079,98,37168,3,38.3535127,-120.7266087,371683
-13437104.9226,4628699.0129,99,37168,4,38.3479607,-120.7075543,371684
-13434664.3094,4629543.4783,100,37168,5,38.3539098,-120.6856299,371685
-13447056.0646,4646034.0915,101,37199,1,38.4699851,-120.7969469,371991
-13446331.7085,4645844.9336,102,37199,2,38.4686547,-120.7904399,371992
-13445582.8622,4645818.2324,103,37199,3,38.4684669,-120.7837129,371993
-13445062.132,4646080.6137,104,37199,4,38.4703123,-120.7790351,371994
-13461850.7633,4667297.4696,105,37905,1,38.6193799,-120.9298499,379051
-13459722.3345,4668983.1252,106,37905,2,38.6312099,-120.9107299,379052
